name,position,team,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,team_a_score,team_h_score,total_points,value,was_home,yellow_cards,GW,matchFile,homeTeamID,awayTeamID,goals_scored_distribution
Alex Scott,MID,Bournemouth,0,1,0,62,16,0,0,0,0,1,1,2,50,False,0,1,NOTBOU,0,15,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0,0,0,0,3,0,0,0,0,1,1,0,45,True,0,1,NOTBOU,15,2,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Tomiyasu Takehiro,DEF,Arsenal,0,0,0,0,20,0,0,0,0,0,2,0,50,True,0,1,ARSWOV,1,19,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Malcolm Ebiowei,MID,Crystal Palace,0,0,0,0,4,0,0,0,0,1,2,0,45,False,0,1,BRECRY,6,3,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Ben Brereton Díaz,MID,Southampton,0,1,0,70,15,0,0,0,0,0,1,1,55,False,1,1,NEWSOU,16,14,"{""0"": 0.7216695297273935, ""1"": 0.2583049364858987, ""2"": 0.02002553378670839, ""3"": 0}"
Pau Torres,DEF,Aston Villa,0,1,0,90,19,0,0,0,0,2,1,2,45,False,0,1,WHUAVL,2,18,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Joel Ward,DEF,Crystal Palace,0,0,0,0,4,0,0,0,0,1,2,0,45,False,0,1,BRECRY,6,3,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Will Lankshear,FWD,Spurs,0,0,0,0,11,0,0,0,0,1,1,0,45,False,0,1,LCITOT,17,10,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Hwang Hee-chan,MID,Wolves,0,2,0,90,1,0,0,0,0,0,2,2,65,False,0,1,ARSWOV,19,0,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Mikey Moore,MID,Spurs,0,0,0,0,11,0,0,0,0,1,1,0,45,False,0,1,LCITOT,17,10,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Hákon Valdimarsson,GK,Brentford,0,0,0,0,7,0,0,0,0,1,2,0,40,True,0,1,BRECRY,3,6,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Alex Paulsen,GK,Bournemouth,0,0,0,0,16,0,0,0,0,1,1,0,40,False,0,1,NOTBOU,0,15,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
João Victor Gomes da Silva,MID,Wolves,0,2,0,83,1,0,0,0,0,0,2,1,50,False,1,1,ARSWOV,19,0,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Cole Palmer,MID,Chelsea,0,2,0,90,13,0,0,0,0,2,0,2,105,True,0,1,CHEMNC,5,12,"{""0"": 0.9356080035245378, ""1"": 0.06333129247010624, ""2"": 0.0010607040053566552, ""3"": 0}"
Mitoma Kaoru,MID,Brighton,1,0,1,88,8,0,0,0,0,3,0,8,65,False,0,1,EVEBHA,4,7,"{""0"": 0.16124528916744166, ""1"": 0.7089941328571455, ""2"": 0.12366482352814932, ""3"": 0.00609575444726472}"
Boubakary Soumaré,MID,Leicester,0,0,0,11,18,0,0,0,0,1,1,1,45,True,0,1,LCITOT,10,17,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Chris Wood,FWD,Nott'm Forest,1,0,1,71,3,0,0,0,0,1,1,9,60,True,0,1,NOTBOU,15,2,"{""0"": 0.2939373254776003, ""1"": 0.7060626745224001, ""3"": 0, ""2"": 0}"
Joe Worrall,DEF,Nott'm Forest,0,0,0,0,3,0,0,0,0,1,1,0,45,True,0,1,NOTBOU,15,2,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Jeffrey Schlupp,MID,Crystal Palace,0,0,0,0,4,0,0,0,0,1,2,0,50,False,0,1,BRECRY,6,3,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Milos Kerkez,DEF,Bournemouth,0,1,0,90,16,0,0,0,0,1,1,1,45,False,1,1,NOTBOU,0,15,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Adrian Mazilu,MID,Brighton,0,0,0,0,8,0,0,0,0,3,0,0,45,False,0,1,EVEBHA,4,7,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Jason Steele,GK,Brighton,1,0,0,90,8,0,0,0,0,3,0,7,45,False,0,1,EVEBHA,4,7,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Arijanet Muric,GK,Ipswich,0,0,0,0,12,0,0,0,0,2,0,0,45,True,0,1,IPSLIV,9,11,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Carl Rushworth,GK,Brighton,0,0,0,0,8,0,0,0,0,3,0,0,40,False,0,1,EVEBHA,4,7,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Ibrahim Sangaré,MID,Nott'm Forest,0,1,0,90,3,0,0,0,0,1,1,2,45,True,0,1,NOTBOU,15,2,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Hannibal Mejbri,MID,Man Utd,0,0,0,0,9,0,0,0,0,0,1,0,45,True,0,1,MNUFUL,13,8,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Brandon Austin,GK,Spurs,0,0,0,0,11,0,0,0,0,1,1,0,40,False,0,1,LCITOT,17,10,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Conor Coady,DEF,Leicester,0,0,0,0,18,0,0,0,0,1,1,0,40,True,0,1,LCITOT,10,17,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Wes Foderingham,GK,West Ham,0,0,0,0,2,0,0,0,0,2,1,0,45,True,0,1,WHUAVL,18,1,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Armando Broja,FWD,Chelsea,0,0,0,0,13,0,0,0,0,2,0,0,55,True,0,1,CHEMNC,5,12,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
